ID Empresa;Empresa;Año;Periodo;Departamento;Municipio;NUECA;Entrega ECA/Recoge rechazoECA;Sitio origen o destino residuo;#sitio origen/destino residuo;Dpto origen residuo;Municipio origen residuos;Tonelada entregadas recogidas;Fecha de cargue
2044;INTERASEO S.A.S.  E.S.P.;2020;3;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;124105088;ANTIOQUIA;BELLO;4,39;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;124105088;ANTIOQUIA;BELLO;4,6222;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;124105088;ANTIOQUIA;BELLO;4,93;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;128605129;ANTIOQUIA;CALDAS;2,829;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;128605129;ANTIOQUIA;CALDAS;3,222;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;881805212;ANTIOQUIA;COPACABANA;1,111;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;881805212;ANTIOQUIA;COPACABANA;1,25;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;881805212;ANTIOQUIA;COPACABANA;1,79;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;881805212;ANTIOQUIA;COPACABANA;3,2768;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;MAGDALENA;SANTA MARTA;998947001-ECA INTERASEO MAGDALENA;Entrega a la ECA;Área de prestación del servicio;1400147288;MAGDALENA;FUNDACION;0,708;01/03/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;242105308;ANTIOQUIA;GIRARDOTA;1,493;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;242105308;ANTIOQUIA;GIRARDOTA;2,9;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;242105308;ANTIOQUIA;GIRARDOTA;3,7338;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Entrega a la ECA;Área de prestación del servicio;242105308;ANTIOQUIA;GIRARDOTA;4,29;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;310205360;ANTIOQUIA;ITAGUI;5,269;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;310205360;ANTIOQUIA;ITAGUI;6,024;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;310105380;ANTIOQUIA;LA ESTRELLA;3,348;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;310105380;ANTIOQUIA;LA ESTRELLA;3,52;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Entrega a la ECA;Área de prestación del servicio;882544001;LA GUAJIRA;RIOHACHA;0,4999;08/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Entrega a la ECA;Área de prestación del servicio;882544001;LA GUAJIRA;RIOHACHA;1,4781;28/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Entrega a la ECA;Área de prestación del servicio;882544001;LA GUAJIRA;RIOHACHA;2,6026;08/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Entrega a la ECA;Área de prestación del servicio;882544001;LA GUAJIRA;RIOHACHA;2,8247;28/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;242305631;ANTIOQUIA;SABANETA;8,3184;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Entrega a la ECA;Área de prestación del servicio;242305631;ANTIOQUIA;SABANETA;10,686;21/06/20
